tau1,tau2
9.999999999999861,0.0
9.9419969093021,0.6318324964322842
9.76883163154696,1.2466902209559896
9.48302280755104,1.8277028379251405
9.088726965127139,2.358198817806351
8.591690736461812,2.8217833537014725
7.999223850658236,3.2024061516791216
7.320272293991988,3.484464852517563
6.565793424240852,3.6531093533306835
5.749948720458094,3.6952676633573933
4.893347110582937,3.602895145260393
4.030402476287443,3.3819092313487893
3.2188913331309528,3.06920668682556
2.5295057097555618,2.738582383292208
1.9973219604915409,2.458501023959654
1.6016265681589121,2.2491698056861456
1.3022199461975092,2.0987783626738254
1.0664822198022592,1.990497385752916
0.8729484355102002,1.9114904430070334
0.7080077079111562,1.8532065554291837
0.5628383926703159,1.8101002402999589
0.4314753359376371,1.7785655589444884
0.30967404540778337,1.75624878372863
0.1942361889470086,1.7416323608494482
0.0825905575562627,1.733789172623042
-0.027487172401829022,1.7322434876098876
-0.13808381933576036,1.7369033403422838
-0.2513313263622347,1.7480477711817992
-0.369598081309543,1.7663658586883448
-0.495727158465247,1.7930569906869533
-0.6333751636909271,1.8300173522668621
-0.7875399921784939,1.8801606264909618
-0.9654327106651797,1.9479548196097862
-1.177961959740987,2.0402899636547924
-1.4422123899159516,2.1677181206330616
-1.78494450655811,2.3453897055335524
-2.2440685715966064,2.5897931879171185
-2.85527800069654,2.9009448868747842
-3.6136633621146306,3.2330519847120263
-4.459676728364265,3.507128543497887
-5.325037577863811,3.6660203191959106
-6.164465631244733,3.6906851310358366
-6.951687316925994,3.5838438984314784
-7.669928991223473,3.3567081627013113
-8.306867504427165,3.0234525116046607
-8.85263124440283,2.5993670655706116
-9.29911332969837,2.1002973659947815
-9.639785713561505,1.542474797269025
-9.869691044337083,0.9424412261517395
-9.985486012975707,0.31697842136618076
-9.985486012975707,-0.31697842136618276
-9.869691044337083,-0.9424412261517415
-9.639785713561503,-1.5424747972690267
-9.299113329698372,-2.1002973659947797
-8.852631244402827,-2.5993670655706125
-8.306867504427167,-3.0234525116046593
-7.669928991223473,-3.3567081627013127
-6.951687316925996,-3.5838438984314775
-6.164465631244729,-3.690685131035836
-5.325037577863814,-3.6660203191959106
-4.459676728364262,-3.5071285434978865
-3.6136633621146337,-3.2330519847120276
-2.8552780006965386,-2.900944886874784
-2.244068571596608,-2.5897931879171194
-1.7849445065581084,-2.345389705533552
-1.442212389915953,-2.1677181206330625
-1.1779619597409843,-2.040289963654791
-0.9654327106651791,-1.947954819609786
-0.7875399921784939,-1.8801606264909618
-0.6333751636909275,-1.8300173522668621
-0.4957271584652461,-1.7930569906869531
-0.36959808130954264,-1.7663658586883446
-0.2513313263622347,-1.7480477711817992
-0.1380838193357608,-1.7369033403422836
-0.027487172401828294,-1.7322434876098876
0.08259055755626304,-1.733789172623042
0.19423618894700817,-1.7416323608494482
0.3096740454077825,-1.7562487837286298
0.4314753359376375,-1.7785655589444884
0.5628383926703159,-1.8101002402999589
0.7080077079111556,-1.8532065554291834
0.8729484355102013,-1.9114904430070339
1.0664822198022599,-1.9904973857529162
1.302219946197509,-2.098778362673825
1.6016265681589108,-2.2491698056861447
1.9973219604915438,-2.4585010239596556
2.5295057097555635,-2.7385823832922087
3.2188913331309523,-3.0692066868255594
4.030402476287438,-3.381909231348788
4.893347110582941,-3.602895145260394
5.749948720458095,-3.695267663357393
6.565793424240852,-3.6531093533306844
7.320272293991984,-3.484464852517564
7.999223850658239,-3.2024061516791194
8.591690736461812,-2.821783353701472
9.088726965127139,-2.358198817806352
9.483022807551045,-1.8277028379251368
9.76883163154696,-1.2466902209559876
9.9419969093021,-0.6318324964322843
9.999999999999861,-2.4492935982946726e-15
