timestamp,u1,u2,image_coords,n_images,magnifications,total_magnification
-50.0,-1.0,-0.28867513459481287,"[(32.109435881495024, np.float64(-1.6646371272951572))]",1,[np.float64(274.6881434067558)],274.6881434067558
-49.99,-0.9998,-0.2885596645409749,"[(32.098894095377204, np.float64(-1.6646493877226434))]",1,[np.float64(274.6730738552397)],274.6730738552397
-49.980000000000004,-0.9996,-0.2884441944871371,"[(32.08835291730588, np.float64(-1.664661654532018))]",1,[np.float64(274.65799214891376)],274.65799214891376
-49.970000000000006,-0.9994000000000001,-0.28832872443329916,"[(32.07781234777109, np.float64(-1.6646739277275402))]",1,[np.float64(274.64289827626345)],274.64289827626345
-49.96000000000001,-0.9992000000000002,-0.2882132543794613,"[(32.06727238726607, np.float64(-1.6646862073134727))]",1,[np.float64(274.6277922257579)],274.6277922257579
-49.95000000000001,-0.9990000000000002,-0.2880977843256234,"[(32.05673303628145, np.float64(-1.66469849329408))]",1,[np.float64(274.61267398586017)],274.61267398586017
-49.94000000000001,-0.9988000000000002,-0.28798231427178544,"[(32.04619429530937, np.float64(-1.66471078567363))]",1,[np.float64(274.5975435450063)],274.5975435450063
-49.930000000000014,-0.9986000000000003,-0.2878668442179475,"[(32.035656164842436, np.float64(-1.6647230844563934))]",1,[np.float64(274.582400891638)],274.582400891638
-49.920000000000016,-0.9984000000000003,-0.2877513741641097,"[(32.02511864537374, np.float64(-1.6647353896466432))]",1,[np.float64(274.567246014177)],274.567246014177
-49.91000000000002,-0.9982000000000003,-0.28763590411027173,"[(32.01458173739682, np.float64(-1.6647477012486565))]",1,[np.float64(274.55207890103276)],274.55207890103276
-49.90000000000002,-0.9980000000000004,-0.2875204340564339,"[(32.00404544140569, np.float64(-1.6647600192667122))]",1,[np.float64(274.53689954061167)],274.53689954061167
-49.89000000000002,-0.9978000000000005,-0.28740496400259596,"[(31.99350975789483, np.float64(-1.6647723437050925))]",1,[np.float64(274.52170792130056)],274.52170792130056
-49.880000000000024,-0.9976000000000005,-0.287289493948758,"[(31.982974687359224, np.float64(-1.6647846745680828))]",1,[np.float64(274.5065040314755)],274.5065040314755
-49.870000000000026,-0.9974000000000005,-0.2871740238949201,"[(31.972440230294296, np.float64(-1.6647970118599704))]",1,[np.float64(274.4912878595075)],274.4912878595075
-49.86000000000003,-0.9972000000000005,-0.28705855384108225,"[(31.961906387195942, np.float64(-1.6648093555850467))]",1,[np.float64(274.47605939374915)],274.47605939374915
-49.85000000000003,-0.9970000000000006,-0.2869430837872443,"[(31.951373158560486, np.float64(-1.6648217057476051))]",1,[np.float64(274.4608186225435)],274.4608186225435
-49.84000000000003,-0.9968000000000007,-0.2868276137334065,"[(31.94084054488476, np.float64(-1.6648340623519424))]",1,[np.float64(274.44556553422547)],274.44556553422547
-49.830000000000034,-0.9966000000000007,-0.28671214367956854,"[(31.930308546665014, np.float64(-1.6648464254023572))]",1,[np.float64(274.43030011711704)],274.43030011711704
-49.820000000000036,-0.9964000000000007,-0.2865966736257306,"[(31.919777164401022, np.float64(-1.664858794903153))]",1,[np.float64(274.4150223595248)],274.4150223595248
-49.81000000000004,-0.9962000000000008,-0.2864812035718928,"[(31.909246398590014, np.float64(-1.6648711708586346))]",1,[np.float64(274.39973224974614)],274.39973224974614
-49.80000000000004,-0.9960000000000008,-0.28636573351805483,"[(31.898716249731088, np.float64(-1.6648835532731106))]",1,[np.float64(274.38442977607315)],274.38442977607315
-49.79000000000004,-0.9958000000000008,-0.2862502634642169,"[(31.888186718322846, np.float64(-1.664895942150891))]",1,[np.float64(274.3691149267776)],274.3691149267776
-49.780000000000044,-0.9956000000000009,-0.28613479341037906,"[(31.877657804864185, np.float64(-1.6649083374962896))]",1,[np.float64(274.3537876901207)],274.3537876901207
-49.770000000000046,-0.995400000000001,-0.2860193233565411,"[(31.86712950985723, np.float64(-1.6649207393136245))]",1,[np.float64(274.33844805436064)],274.33844805436064
-49.76000000000005,-0.995200000000001,-0.2859038533027032,"[(31.85660183380158, np.float64(-1.6649331476072147))]",1,[np.float64(274.3230960077352)],274.3230960077352
-49.75000000000005,-0.995000000000001,-0.28578838324886535,"[(31.846074777198325, np.float64(-1.6649455623813825))]",1,[np.float64(274.30773153847116)],274.30773153847116
-49.74000000000005,-0.994800000000001,-0.2856729131950274,"[(31.83554834054901, np.float64(-1.6649579836404536))]",1,[np.float64(274.29235463479176)],274.29235463479176
-49.730000000000054,-0.994600000000001,-0.28555744314118947,"[(31.825022524355703, np.float64(-1.6649704113887565))]",1,[np.float64(274.27696528490134)],274.27696528490134
-49.720000000000056,-0.9944000000000011,-0.28544197308735153,"[(31.814497329120915, np.float64(-1.664982845630622))]",1,[np.float64(274.26156347699055)],274.26156347699055
-49.71000000000006,-0.9942000000000012,-0.2853265030335137,"[(31.80397275534766, np.float64(-1.6649952863703845))]",1,[np.float64(274.24614919924886)],274.24614919924886
-49.70000000000006,-0.9940000000000012,-0.28521103297967576,"[(31.79344880353942, np.float64(-1.665007733612381))]",1,[np.float64(274.23072243984467)],274.23072243984467
-49.69000000000006,-0.9938000000000012,-0.28509556292583793,"[(31.782925474200148, np.float64(-1.6650201873609516))]",1,[np.float64(274.2152831869402)],274.2152831869402
-49.680000000000064,-0.9936000000000013,-0.284980092872,"[(31.772402767834294, np.float64(-1.6650326476204387))]",1,[np.float64(274.1998314286813)],274.1998314286813
-49.670000000000066,-0.9934000000000013,-0.28486462281816205,"[(31.76188068494677, np.float64(-1.6650451143951885))]",1,[np.float64(274.1843671532064)],274.1843671532064
-49.66000000000007,-0.9932000000000013,-0.2847491527643241,"[(31.751359226042936, np.float64(-1.6650575876895493))]",1,[np.float64(274.16889034864096)],274.16889034864096
-49.65000000000007,-0.9930000000000014,-0.2846336827104863,"[(31.740838391627648, np.float64(-1.665070067507872))]",1,[np.float64(274.15340100309663)],274.15340100309663
-49.64000000000007,-0.9928000000000015,-0.28451821265664845,"[(31.730318182209242, np.float64(-1.6650825538545124))]",1,[np.float64(274.1378991046808)],274.1378991046808
-49.630000000000074,-0.9926000000000015,-0.2844027426028105,"[(31.719798598293497, np.float64(-1.665095046733827))]",1,[np.float64(274.1223846414805)],274.1223846414805
-49.620000000000076,-0.9924000000000015,-0.28428727254897257,"[(31.709279640387717, np.float64(-1.665107546150176))]",1,[np.float64(274.10685760157406)],274.10685760157406
-49.61000000000008,-0.9922000000000015,-0.28417180249513463,"[(31.698761309, np.float64(-1.665120052107923))]",1,[np.float64(274.0913179730321)],274.0913179730321
-49.60000000000008,-0.9920000000000015,-0.2840563324412968,"[(31.688243604638217, np.float64(-1.6651325646114332))]",1,[np.float64(274.07576574391004)],274.07576574391004
-49.59000000000008,-0.9918000000000017,-0.28394086238745886,"[(31.67772652781022, np.float64(-1.6651450836650754))]",1,[np.float64(274.06020090224763)],274.06020090224763
-49.580000000000084,-0.9916000000000017,-0.28382539233362103,"[(31.667210079027285, np.float64(-1.6651576092732225))]",1,[np.float64(274.0446234360835)],274.0446234360835
-49.570000000000086,-0.9914000000000017,-0.2837099222797831,"[(31.656694258798083, np.float64(-1.6651701414402487))]",1,[np.float64(274.0290333334332)],274.0290333334332
-49.56000000000009,-0.9912000000000017,-0.28359445222594515,"[(31.64617906763283, np.float64(-1.6651826801705314))]",1,[np.float64(274.0134305823097)],274.0134305823097
-49.55000000000009,-0.9910000000000018,-0.2834789821721072,"[(31.635664506042218, np.float64(-1.6651952254684512))]",1,[np.float64(273.9978151707068)],273.9978151707068
-49.54000000000009,-0.9908000000000018,-0.2833635121182694,"[(31.625150574537425, np.float64(-1.6652077773383918))]",1,[np.float64(273.9821870866154)],273.9821870866154
-49.53000000000009,-0.9906000000000019,-0.28324804206443155,"[(31.614637273630123, np.float64(-1.665220335784739))]",1,[np.float64(273.966546318006)],273.966546318006
-49.520000000000095,-0.990400000000002,-0.2831325720105936,"[(31.60412460383246, np.float64(-1.6652329008118825))]",1,[np.float64(273.95089285283836)],273.95089285283836
-49.5100000000001,-0.990200000000002,-0.28301710195675567,"[(31.59361256565708, np.float64(-1.6652454724242145))]",1,[np.float64(273.9352266790716)],273.9352266790716
-49.5000000000001,-0.990000000000002,-0.2829016319029177,"[(31.58310115961713, np.float64(-1.6652580506261296))]",1,[np.float64(273.91954778463844)],273.91954778463844
-49.4900000000001,-0.989800000000002,-0.2827861618490799,"[(31.572590386226246, np.float64(-1.6652706354220261))]",1,[np.float64(273.90385615746624)],273.90385615746624
-49.4800000000001,-0.989600000000002,-0.28267069179524196,"[(31.56208024599849, np.float64(-1.665283226816305))]",1,[np.float64(273.88815178547117)],273.88815178547117
-49.470000000000105,-0.9894000000000021,-0.282555221741404,"[(31.551570739448454, np.float64(-1.6652958248133698))]",1,[np.float64(273.87243465655916)],273.87243465655916
-49.46000000000011,-0.9892000000000022,-0.2824397516875662,"[(31.541061867090182, np.float64(-1.6653084294176266))]",1,[np.float64(273.8567047586193)],273.8567047586193
-49.45000000000011,-0.9890000000000022,-0.28232428163372825,"[(31.53055362944122, np.float64(-1.6653210406334864))]",1,[np.float64(273.8409620795348)],273.8409620795348
-49.44000000000011,-0.9888000000000022,-0.2822088115798903,"[(31.52004602701659, np.float64(-1.665333658465361))]",1,[np.float64(273.8252066071727)],273.8252066071727
-49.43000000000011,-0.9886000000000023,-0.2820933415260525,"[(31.509539060332827, np.float64(-1.665346282917666))]",1,[np.float64(273.8094383293896)],273.8094383293896
-49.420000000000115,-0.9884000000000023,-0.28197787147221454,"[(31.499032729907178, np.float64(-1.6653589139948193))]",1,[np.float64(273.7936572340302)],273.7936572340302
-49.41000000000012,-0.9882000000000023,-0.2818624014183766,"[(31.488527036256922, np.float64(-1.6653715517012426))]",1,[np.float64(273.7778633089293)],273.7778633089293
-49.40000000000012,-0.9880000000000024,-0.28174693136453877,"[(31.478021979899136, np.float64(-1.6653841960413593))]",1,[np.float64(273.7620565419061)],273.7620565419061
-49.39000000000012,-0.9878000000000025,-0.2816314613107008,"[(31.467517561354303, np.float64(-1.6653968470195977))]",1,[np.float64(273.74623692076955)],273.74623692076955
-49.38000000000012,-0.9876000000000025,-0.2815159912568629,"[(31.457013781140414, np.float64(-1.6654095046403872))]",1,[np.float64(273.73040443332013)],273.73040443332013
-49.370000000000125,-0.9874000000000025,-0.28140052120302506,"[(31.446510639776967, np.float64(-1.6654221689081605))]",1,[np.float64(273.7145590673442)],273.7145590673442
-49.36000000000013,-0.9872000000000025,-0.2812850511491871,"[(31.436008137783933, np.float64(-1.6654348398273537))]",1,[np.float64(273.6987008106098)],273.6987008106098
-49.35000000000013,-0.9870000000000025,-0.2811695810953492,"[(31.4255062756818, np.float64(-1.6654475174024055))]",1,[np.float64(273.68282965088645)],273.68282965088645
-49.34000000000013,-0.9868000000000027,-0.28105411104151135,"[(31.415005053991568, np.float64(-1.6654602016377575))]",1,[np.float64(273.6669455759177)],273.6669455759177
-49.33000000000013,-0.9866000000000027,-0.2809386409876734,"[(31.404504473234706, np.float64(-1.6654728925378544))]",1,[np.float64(273.6510485734481)],273.6510485734481
-49.320000000000135,-0.9864000000000027,-0.2808231709338356,"[(31.394004533933188, np.float64(-1.6654855901071437))]",1,[np.float64(273.6351386312009)],273.6351386312009
-49.31000000000014,-0.9862000000000027,-0.28070770087999763,"[(31.3835052366095, np.float64(-1.6654982943500756))]",1,[np.float64(273.61921573689204)],273.61921573689204
-49.30000000000014,-0.9860000000000028,-0.2805922308261597,"[(31.37300658178662, np.float64(-1.6655110052711037))]",1,[np.float64(273.60327987822245)],273.60327987822245
