timestamps,magnifications
-250.0,0.0
-249.99,0.0
-249.98000000000002,0.0
-249.97000000000003,0.0
-249.96000000000004,0.0
-249.95000000000005,0.0
-249.94000000000005,0.0
-249.93000000000006,0.0
-249.92000000000007,0.0
-249.91000000000008,0.0
-249.9000000000001,0.0
-249.8900000000001,0.0
-249.8800000000001,0.0
-249.87000000000012,0.0
-249.86000000000013,0.0
-249.85000000000014,0.0
-249.84000000000015,0.0
-249.83000000000015,0.0
-249.82000000000016,0.0
-249.81000000000017,0.0
-249.80000000000018,0.0
-249.7900000000002,0.0
-249.7800000000002,0.0
-249.7700000000002,0.0
-249.76000000000022,0.0
-249.75000000000023,0.0
-249.74000000000024,0.0
-249.73000000000025,0.0
-249.72000000000025,0.0
-249.71000000000026,0.0
-249.70000000000027,0.0
-249.69000000000028,0.0
-249.6800000000003,0.0
-249.6700000000003,0.0
-249.6600000000003,0.0
-249.65000000000032,0.0
-249.64000000000033,0.0
-249.63000000000034,0.0
-249.62000000000035,0.0
-249.61000000000035,0.0
-249.60000000000036,0.0
-249.59000000000037,0.0
-249.58000000000038,0.0
-249.5700000000004,0.0
-249.5600000000004,0.0
-249.5500000000004,0.0
-249.54000000000042,0.0
-249.53000000000043,0.0
-249.52000000000044,0.0
-249.51000000000045,0.0
-249.50000000000045,0.0
-249.49000000000046,0.0
-249.48000000000047,0.0
-249.47000000000048,0.0
-249.4600000000005,0.0
-249.4500000000005,0.0
-249.4400000000005,0.0
-249.43000000000052,0.0
-249.42000000000053,0.0
-249.41000000000054,0.0
-249.40000000000055,0.0
-249.39000000000055,0.0
-249.38000000000056,0.0
-249.37000000000057,0.0
-249.36000000000058,0.0
-249.3500000000006,0.0
-249.3400000000006,0.0
-249.3300000000006,0.0
-249.32000000000062,0.0
-249.31000000000063,0.0
-249.30000000000064,0.0
-249.29000000000065,0.0
-249.28000000000065,0.0
-249.27000000000066,0.0
-249.26000000000067,0.0
-249.25000000000068,0.0
-249.2400000000007,0.0
-249.2300000000007,0.0
-249.2200000000007,0.0
-249.21000000000072,0.0
-249.20000000000073,0.0
-249.19000000000074,0.0
-249.18000000000075,0.0
-249.17000000000075,0.0
-249.16000000000076,0.0
-249.15000000000077,0.0
-249.14000000000078,0.0
-249.1300000000008,0.0
-249.1200000000008,0.0
-249.1100000000008,0.0
-249.10000000000082,0.0
-249.09000000000083,0.0
-249.08000000000084,0.0
-249.07000000000085,0.0
-249.06000000000085,0.0
-249.05000000000086,0.0
-249.04000000000087,0.0
-249.03000000000088,0.0
-249.0200000000009,0.0
-249.0100000000009,0.0
-249.0000000000009,0.0
-248.99000000000092,0.0
-248.98000000000093,0.0
-248.97000000000094,0.0
-248.96000000000095,0.0
-248.95000000000095,0.0
-248.94000000000096,0.0
-248.93000000000097,0.0
-248.92000000000098,0.0
-248.910000000001,0.0
-248.900000000001,0.0
-248.890000000001,0.0
-248.88000000000102,0.0
-248.87000000000103,0.0
-248.86000000000104,0.0
-248.85000000000105,0.0
-248.84000000000106,0.0
-248.83000000000106,0.0
-248.82000000000107,0.0
-248.81000000000108,0.0
-248.8000000000011,0.0
-248.7900000000011,0.0
-248.7800000000011,0.0
-248.77000000000112,0.0
-248.76000000000113,0.0
-248.75000000000114,0.0
