timestamps,magnifications
-250.0,1.442861104974648e-10
-249.99,1.4430920995449045e-10
-249.98000000000002,1.443323140343224e-10
-249.97000000000003,1.4435542273807112e-10
-249.96000000000004,1.4437853606684716e-10
-249.95000000000005,1.4440165402176126e-10
-249.94000000000005,1.4442477660392477e-10
-249.93000000000006,1.444479038144488e-10
-249.92000000000007,1.444710356544455e-10
-249.91000000000008,1.4449417212502658e-10
-249.9000000000001,1.445173132273049e-10
-249.8900000000001,1.4454045896239276e-10
-249.8800000000001,1.4456360933140337e-10
-249.87000000000012,1.4458676433544997e-10
-249.86000000000013,1.446099239756463e-10
-249.85000000000014,1.4463308825310628e-10
-249.84000000000015,1.4465625716894425e-10
-249.83000000000015,1.4467943072427444e-10
-249.82000000000016,1.447026089202122e-10
-249.81000000000017,1.447257917578725e-10
-249.80000000000018,1.4474897923837091e-10
-249.7900000000002,1.447721713628231e-10
-249.7800000000002,1.4479536813234556e-10
-249.7700000000002,1.4481856954805456e-10
-249.76000000000022,1.4484177561106682e-10
-249.75000000000023,1.4486498632249945e-10
-249.74000000000024,1.448882016834698e-10
-249.73000000000025,1.4491142169509575e-10
-249.72000000000025,1.4493464635849526e-10
-249.71000000000026,1.4495787567478647e-10
-249.70000000000027,1.4498110964508832e-10
-249.69000000000028,1.4500434827051943e-10
-249.6800000000003,1.4502759155219954e-10
-249.6700000000003,1.4505083949124766e-10
-249.6600000000003,1.4507409208878425e-10
-249.65000000000032,1.4509734934592924e-10
-249.64000000000033,1.4512061126380342e-10
-249.63000000000034,1.4514387784352716e-10
-249.62000000000035,1.4516714908622208e-10
-249.61000000000035,1.4519042499300944e-10
-249.60000000000036,1.452137055650111e-10
-249.59000000000037,1.4523699080334893e-10
-249.58000000000038,1.4526028070914585e-10
-249.5700000000004,1.4528357528354267e-10
-249.5600000000004,1.4530687452780635e-10
-249.5500000000004,1.4533017844289834e-10
-249.54000000000042,1.453534870299423e-10
-249.53000000000043,1.4537680029006195e-10
-249.52000000000044,1.4540011822438203e-10
-249.51000000000045,1.4542344083402685e-10
-249.50000000000045,1.4544676812012138e-10
-249.49000000000046,1.45470100083791e-10
-249.48000000000047,1.4549343672616133e-10
-249.47000000000048,1.4551677804835808e-10
-249.4600000000005,1.4554012405150752e-10
-249.4500000000005,1.455634747367362e-10
-249.4400000000005,1.4558683010517103e-10
-249.43000000000052,1.4561019015793904e-10
-249.42000000000053,1.4563355489616772e-10
-249.41000000000054,1.4565692432098488e-10
-249.40000000000055,1.456802984335189e-10
-249.39000000000055,1.457036772348977e-10
-249.38000000000056,1.4572706072625044e-10
-249.37000000000057,1.45750448908706e-10
-249.36000000000058,1.4577384178339372e-10
-249.3500000000006,1.4579723935144342e-10
-249.3400000000006,1.45820641613985e-10
-249.3300000000006,1.4584404857214886e-10
-249.32000000000062,1.458674602270656e-10
-249.31000000000063,1.4589087657986616e-10
-249.30000000000064,1.459142976316818e-10
-249.29000000000065,1.459377233836444e-10
-249.28000000000065,1.4596115383688558e-10
-249.27000000000066,1.4598458899253757e-10
-249.26000000000067,1.4600802885173306e-10
-249.25000000000068,1.4603147341560465e-10
-249.2400000000007,1.46054922685286e-10
-249.2300000000007,1.4607837666191018e-10
-249.2200000000007,1.4610183534661142e-10
-249.21000000000072,1.4612529874052365e-10
-249.20000000000073,1.46148766844781e-10
-249.19000000000074,1.4617223966051885e-10
-249.18000000000075,1.46195717188872e-10
-249.17000000000075,1.4621919943097578e-10
-249.16000000000076,1.462426863879662e-10
-249.15000000000077,1.462661780609791e-10
-249.14000000000078,1.4628967445115084e-10
-249.1300000000008,1.4631317555961828e-10
-249.1200000000008,1.4633668138751848e-10
-249.1100000000008,1.4636019193598845e-10
-249.10000000000082,1.4638370720616623e-10
-249.09000000000083,1.4640722719918953e-10
-249.08000000000084,1.4643075191619665e-10
-249.07000000000085,1.464542813583265e-10
-249.06000000000085,1.464778155267177e-10
-249.05000000000086,1.4650135442250962e-10
-249.04000000000087,1.465248980468419e-10
-249.03000000000088,1.4654844640085446e-10
-249.0200000000009,1.4657199948568733e-10
-249.0100000000009,1.465955573024812e-10
-249.0000000000009,1.4661911985237676e-10
-248.99000000000092,1.4664268713651536e-10
-248.98000000000093,1.4666625915603856e-10
-248.97000000000094,1.4668983591208796e-10
-248.96000000000095,1.4671341740580595e-10
-248.95000000000095,1.467370036383349e-10
-248.94000000000096,1.467605946108175e-10
